restaurant_name_clean,combined_cost_deliveroo,combined_cost_takeaway,delivery_fee_deliveroo,delivery_fee_takeaway,min_order_deliveroo,min_order_takeaway,rating_deliveroo,rating_takeaway,rating_count_deliveroo,rating_count_takeaway,total_delivery_time_deliveroo,total_delivery_time_takeaway,weighted_rating_deliveroo,weighted_rating_takeaway
vilfoodia restaurant,5.0,16.85,0.0,1.95,5.0,14.9,3.8,4.2,14.0,2009.0,86.15,42.5,3.95625,4.195143273433707
viva lasagna,9.99,18.84,4.99,3.84,5.0,15.0,4.4,4.6,54.0,19.0,37.61,65.0,4.207692307692308,4.165217391304347
waffle and juice,9.99,23.59,4.99,5.59,5.0,18.0,4.4,4.2,37.0,14.0,28.58,50.0,4.170114942528736,4.04375
wan kou,9.99,20.0,4.99,0.0,5.0,20.0,4.1,4.2,142.0,2118.0,49.63,42.5,4.073958333333333,4.195387453874539
wasbar,9.99,17.823333333333334,4.99,4.267777777777777,5.0,13.555555555555555,4.2,3.5,500.0,30.666666666666668,45.76,44.44444444444444,4.181818181818182,3.814655604333991
wok & momo house,9.99,12.99,4.99,2.99,5.0,10.0,4.4,4.5,289.0,287.0,37.38,45.0,4.341002949852507,4.425816023738872
wok & walk,9.99,15.49,4.99,3.49,5.0,12.0,4.1,3.4,80.0,954.0,33.9,65.0,4.061538461538461,3.4298804780876493
wok masala,9.99,15.0,4.99,5.0,5.0,10.0,4.4,4.4,99.0,90.0,44.42,42.5,4.265771812080537,4.257142857142857
wolfgang,9.99,12.99,4.99,2.99,5.0,10.0,4.5,4.1,49.0,69.0,42.72,45.0,4.247474747474747,4.057983193277311
würst,9.99,10.0,4.99,0.0,5.0,10.0,4.3,4.2,500.0,48.0,28.47,40.0,4.2727272727272725,4.09795918367347
xiongmao panda,9.99,12.99,4.99,2.99,5.0,10.0,4.3,4.5,204.0,71.0,29.64,45.0,4.240944881889763,4.293388429752066
yama sushi,9.99,25.0,4.99,0.0,5.0,25.0,4.5,4.8,12.0,949.0,33.59,42.5,4.096774193548387,4.75995995995996
yammi yammi,9.99,19.84,4.99,4.84,5.0,15.0,4.1,4.2,83.0,147.0,49.17,50.0,4.062406015037594,4.149238578680203
yammy thai wok,9.99,23.59,4.99,5.59,5.0,18.0,3.9,3.6,33.0,9.0,26.62,50.0,3.9602409638554215,3.9389830508474577
yokoso,9.99,16.795,4.99,2.795,5.0,14.0,4.3,4.550000000000001,500.0,4.0,26.0,45.0,4.2727272727272725,4.046569468267581
youwok,9.99,18.473333333333333,4.99,4.14,5.0,14.333333333333334,4.1,3.0,151.0,63.333333333333336,31.78,56.666666666666664,4.075124378109452,3.44461487659647
zorba de griek,9.99,15.49,4.99,3.49,5.0,12.0,4.5,4.2,71.0,10.0,41.99,40.0,4.293388429752066,4.033333333333333
